Order_ID		Order_Date		Ship_Date		Ship_Mode		Customer_ID		Customer_Name		Segment		Country		City		State		Postal_Code		Region		Product_ID		Sales		Quantity		Discount		Profit		Person
CA-2016-100006		07/09/2016		13/09/2016		Standard Class		DK-13375		Dennis Kane		Consumer		United States		New York City		New York		10024		East		TEC-PH-10002075		378		3		0		109.6		Chuck Magee
CA-2016-100328		28/01/2016		03/02/2016		Standard Class		JC-15340		Jasper Cacioppo		Consumer		United States		New York City		New York		10024		East		OFF-BI-10000343		3.9		1		0.2		1.3		Chuck Magee
CA-2016-100391		25/05/2016		29/05/2016		Standard Class		BW-11065		Barry Weirich		Consumer		United States		New York City		New York		10035		East		OFF-PA-10001471		14.6		2		0		6.7		Chuck Magee
CA-2016-101364		22/12/2016		26/12/2016		Standard Class		TW-21025		Tamara Willingham		Home Office		United States		New York City		New York		10011		East		OFF-BI-10003984		296.7		13		0.2		100.1		Chuck Magee
CA-2016-101427		26/12/2016		30/12/2016		Standard Class		AY-10555		Andy Yotov		Corporate		United States		Philadelphia		Pennsylvania		19140		East		OFF-AR-10002257		8		3		0.2		1.1		Chuck Magee
CA-2016-101476		12/09/2016		13/09/2016		First Class		SD-20485		Shirley Daniels		Home Office		United States		New Rochelle		New York		10801		East		TEC-MA-10000029		70		1		0		30.1		Chuck Magee
CA-2016-101833		17/11/2016		22/11/2016		Second Class		FG-14260		Frank Gastineau		Home Office		United States		New York City		New York		10024		East		OFF-PA-10003591		34.4		3		0		17.2		Chuck Magee
CA-2016-102008		30/09/2016		04/10/2016		Standard Class		RA-19915		Russell Applegate		Consumer		United States		New York City		New York		10011		East		OFF-PA-10004092		48.9		1		0		24.5		Chuck Magee
CA-2016-102869		09/09/2016		14/09/2016		Second Class		LC-17140		Logan Currie		Consumer		United States		Philadelphia		Pennsylvania		19140		East		OFF-PA-10000788		15.6		3		0.2		5.4		Chuck Magee
CA-2016-102869		09/09/2016		14/09/2016		Second Class		LC-17140		Logan Currie		Consumer		United States		Philadelphia		Pennsylvania		19140		East		TEC-AC-10002134		64.7		6		0.2		-4.9		Chuck Magee
CA-2016-102869		09/09/2016		14/09/2016		Second Class		LC-17140		Logan Currie		Consumer		United States		Philadelphia		Pennsylvania		19140		East		FUR-FU-10002456		17.5		3		0.2		5		Chuck Magee
CA-2016-102869		09/09/2016		14/09/2016		Second Class		LC-17140		Logan Currie		Consumer		United States		Philadelphia		Pennsylvania		19140		East		TEC-PH-10002549		135.5		1		0.4		-31.6		Chuck Magee
CA-2016-103058		23/07/2016		24/07/2016		First Class		AG-10270		Alejandro Grove		Consumer		United States		New York City		New York		10011		East		TEC-AC-10001314		100		2		0		8		Chuck Magee
CA-2016-103219		09/11/2016		13/11/2016		Standard Class		BF-11215		Benjamin Farhat		Home Office		United States		New York City		New York		10035		East		FUR-FU-10004091		56.5		9		0		21.5		Chuck Magee
CA-2016-103331		26/08/2016		01/09/2016		Standard Class		KB-16315		Karl Braun		Consumer		United States		Newark		Delaware		19711		East		FUR-FU-10001731		10.7		4		0		4.1		Chuck Magee
CA-2016-103331		26/08/2016		01/09/2016		Standard Class		KB-16315		Karl Braun		Consumer		United States		Newark		Delaware		19711		East		OFF-PA-10002160		17.3		3		0		8.5		Chuck Magee
CA-2016-103331		26/08/2016		01/09/2016		Standard Class		KB-16315		Karl Braun		Consumer		United States		Newark		Delaware		19711		East		OFF-PA-10002659		3.4		1		0		1.6		Chuck Magee
CA-2016-103429		30/05/2016		01/06/2016		First Class		LW-16825		Laurel Workman		Corporate		United States		New York City		New York		10024		East		OFF-BI-10004233		25.6		2		0.2		9		Chuck Magee
CA-2016-103429		30/05/2016		01/06/2016		First Class		LW-16825		Laurel Workman		Corporate		United States		New York City		New York		10024		East		TEC-PH-10003505		464		5		0		134.6		Chuck Magee
