Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country;City;State;Postal_Code;Region;Product_ID;Sales;Quantity;Discount;Profit;Person
CA-2016-100363;08/04/2016;15/04/2016;Standard Class;JM-15655;Jim Mitchum;Corporate;United States;Glendale;Arizona;85301;West;OFF-FA-10000611;2.4;2;0.2;0.8;Anna Andreadi
CA-2016-100363;08/04/2016;15/04/2016;Standard Class;JM-15655;Jim Mitchum;Corporate;United States;Glendale;Arizona;85301;West;OFF-PA-10004733;19;3;0.2;6.9;Anna Andreadi
CA-2016-101175;09/12/2016;14/12/2016;Standard Class;DM-12955;Dario Medina;Corporate;United States;Mesa;Arizona;85204;West;OFF-ST-10004950;100.7;6;0.2;-1.3;Anna Andreadi
CA-2016-106376;05/12/2016;10/12/2016;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;OFF-AR-10002671;1113;8;0.2;111.3;Anna Andreadi
CA-2016-106376;05/12/2016;10/12/2016;Standard Class;BS-11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;TEC-PH-10002726;168;4;0.2;63;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;United States;Tempe;Arizona;85281;West;OFF-PA-10001838;9.4;2;0.2;3.4;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;United States;Tempe;Arizona;85281;West;OFF-FA-10000735;4.7;2;0.2;1.5;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;United States;Tempe;Arizona;85281;West;TEC-PH-10001760;318.4;2;0.2;107.5;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;United States;Tempe;Arizona;85281;West;OFF-EN-10004846;12.8;6;0.2;4.6;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;United States;Tempe;Arizona;85281;West;OFF-SU-10003567;15.4;2;0.2;-3.3;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;United States;Tempe;Arizona;85281;West;TEC-PH-10001557;230.4;3;0.2;20.2;Anna Andreadi
CA-2016-108189;02/10/2016;05/10/2016;First Class;ES-14080;Erin Smith;Corporate;United States;Tempe;Arizona;85281;West;TEC-AC-10003038;7.2;1;0.2;-0.1;Anna Andreadi
CA-2016-123295;18/07/2016;18/07/2016;Same Day;AH-10120;Adrian Hane;Home Office;United States;Tucson;Arizona;85705;West;FUR-CH-10002372;259.1;4;0.2;-25.9;Anna Andreadi
CA-2016-124079;13/12/2016;17/12/2016;Standard Class;RF-19345;Randy Ferguson;Corporate;United States;Phoenix;Arizona;85023;West;FUR-FU-10002553;88;3;0.2;7.7;Anna Andreadi
CA-2016-124079;13/12/2016;17/12/2016;Standard Class;RF-19345;Randy Ferguson;Corporate;United States;Phoenix;Arizona;85023;West;OFF-BI-10002103;5.2;2;0.7;-4.2;Anna Andreadi
CA-2016-128986;03/08/2016;05/08/2016;Second Class;GH-14410;Gary Hansen;Home Office;United States;Glendale;Arizona;85301;West;OFF-PA-10001289;93;3;0.2;33.7;Anna Andreadi
CA-2016-133389;22/06/2016;22/06/2016;Same Day;TB-21280;Toby Braunhardt;Consumer;United States;Phoenix;Arizona;85023;West;OFF-BI-10001553;8.2;3;0.7;-6;Anna Andreadi
CA-2016-138177;19/09/2016;24/09/2016;Standard Class;ND-18460;Neil Ducich;Corporate;United States;Chandler;Arizona;85224;West;FUR-TA-10004607;73.9;1;0.5;-45.8;Anna Andreadi
CA-2016-138681;20/12/2016;22/12/2016;First Class;CT-11995;Carol Triggs;Consumer;United States;Tucson;Arizona;85705;West;FUR-FU-10001876;52;2;0.2;10.4;Anna Andreadi
CA-2016-138681;20/12/2016;22/12/2016;First Class;CT-11995;Carol Triggs;Consumer;United States;Tucson;Arizona;85705;West;TEC-AC-10003628;72;3;0.2;21.6;Anna Andreadi
CA-2016-138681;20/12/2016;22/12/2016;First Class;CT-11995;Carol Triggs;Consumer;United States;Tucson;Arizona;85705;West;FUR-CH-10004860;242.4;3;0.2;-42.4;Anna Andreadi
CA-2016-138681;20/12/2016;22/12/2016;First Class;CT-11995;Carol Triggs;Consumer;United States;Tucson;Arizona;85705;West;OFF-PA-10000357;221.9;5;0.2;77.7;Anna Andreadi
CA-2016-138681;20/12/2016;22/12/2016;First Class;CT-11995;Carol Triggs;Consumer;United States;Tucson;Arizona;85705;West;OFF-PA-10003270;8.4;2;0.2;2.6;Anna Andreadi
CA-2016-140039;13/09/2016;17/09/2016;Standard Class;ON-18715;Odella Nelson;Corporate;United States;Tempe;Arizona;85281;West;OFF-ST-10001034;79.4;5;0.2;6;Anna Andreadi
CA-2016-146591;19/01/2016;20/01/2016;First Class;TS-21340;Toby Swindell;Consumer;United States;Scottsdale;Arizona;85254;West;OFF-BI-10003676;32.3;10;0.7;-23.7;Anna Andreadi
CA-2016-146591;19/01/2016;20/01/2016;First Class;TS-21340;Toby Swindell;Consumer;United States;Scottsdale;Arizona;85254;West;OFF-PA-10000659;56.1;4;0.2;19.6;Anna Andreadi
CA-2016-146591;19/01/2016;20/01/2016;First Class;TS-21340;Toby Swindell;Consumer;United States;Scottsdale;Arizona;85254;West;OFF-EN-10002504;108.7;5;0.2;36.7;Anna Andreadi
CA-2016-146591;19/01/2016;20/01/2016;First Class;TS-21340;Toby Swindell;Consumer;United States;Scottsdale;Arizona;85254;West;FUR-BO-10001972;181.5;5;0.7;-320.6;Anna Andreadi
CA-2016-146843;30/11/2016;06/12/2016;Standard Class;PB-19150;Philip Brown;Consumer;United States;Avondale;Arizona;85323;West;OFF-SU-10001664;48;7;0.2;3.6;Anna Andreadi
CA-2016-146843;30/11/2016;06/12/2016;Standard Class;PB-19150;Philip Brown;Consumer;United States;Avondale;Arizona;85323;West;TEC-AC-10002550;102.2;4;0.2;-16.6;Anna Andreadi
CA-2016-148040;22/03/2016;26/03/2016;Standard Class;BF-11275;Beth Fritzler;Corporate;United States;Tucson;Arizona;85705;West;OFF-PA-10002581;74.4;3;0.2;23.2;Anna Andreadi
CA-2016-148040;22/03/2016;26/03/2016;Standard Class;BF-11275;Beth Fritzler;Corporate;United States;Tucson;Arizona;85705;West;FUR-CH-10001482;314.4;3;0.2;-35.4;Anna Andreadi
CA-2016-148383;27/12/2016;31/12/2016;Standard Class;RP-19390;Resi Pölking;Consumer;United States;Phoenix;Arizona;85023;West;OFF-BI-10003650;946.8;6;0.7;-694.3;Anna Andreadi
CA-2016-150329;10/10/2016;14/10/2016;Standard Class;SD-20485;Shirley Daniels;Home Office;United States;Phoenix;Arizona;85023;West;FUR-FU-10003724;46.9;7;0.2;3.5;Anna Andreadi
CA-2016-151708;08/08/2016;14/08/2016;Standard Class;MB-17305;Maria Bertelson;Consumer;United States;Glendale;Arizona;85301;West;FUR-FU-10001602;121.4;4;0.2;-3;Anna Andreadi
CA-2016-151708;08/08/2016;14/08/2016;Standard Class;MB-17305;Maria Bertelson;Consumer;United States;Glendale;Arizona;85301;West;TEC-AC-10001767;96;3;0.2;-10.8;Anna Andreadi
CA-2016-159625;23/11/2016;28/11/2016;Standard Class;SM-20005;Sally Matthias;Consumer;United States;Scottsdale;Arizona;85254;West;OFF-EN-10002621;23.5;3;0.2;8.8;Anna Andreadi
CA-2016-159814;24/06/2016;28/06/2016;Standard Class;LP-17080;Liz Pelletier;Consumer;United States;Tucson;Arizona;85705;West;FUR-FU-10001731;4.3;2;0.2;1;Anna Andreadi
CA-2016-161249;09/08/2016;13/08/2016;Standard Class;RD-19720;Roger Demir;Consumer;United States;Phoenix;Arizona;85023;West;OFF-FA-10004838;4.5;3;0.2;-0.9;Anna Andreadi
CA-2016-161249;09/08/2016;13/08/2016;Standard Class;RD-19720;Roger Demir;Consumer;United States;Phoenix;Arizona;85023;West;OFF-BI-10001097;9.3;5;0.7;-6.5;Anna Andreadi
CA-2017-100216;13/04/2017;14/04/2017;First Class;HJ-14875;Heather Jas;Home Office;United States;Mesa;Arizona;85204;West;OFF-PA-10000788;31.1;6;0.2;10.9;Anna Andreadi
CA-2017-100216;13/04/2017;14/04/2017;First Class;HJ-14875;Heather Jas;Home Office;United States;Mesa;Arizona;85204;West;OFF-PA-10002968;54.8;3;0.2;17.8;Anna Andreadi
CA-2017-105312;06/11/2017;09/11/2017;First Class;MT-17815;Meg Tillman;Consumer;United States;Scottsdale;Arizona;85254;West;OFF-EN-10002600;7.1;3;0.2;2.5;Anna Andreadi
CA-2017-105312;06/11/2017;09/11/2017;First Class;MT-17815;Meg Tillman;Consumer;United States;Scottsdale;Arizona;85254;West;OFF-BI-10002049;4.4;3;0.7;-3.5;Anna Andreadi
CA-2017-112144;28/06/2017;02/07/2017;Standard Class;CY-12745;Craig Yedwab;Corporate;United States;Gilbert;Arizona;85234;West;OFF-LA-10000443;5.9;2;0.2;2;Anna Andreadi
CA-2017-112144;28/06/2017;02/07/2017;Standard Class;CY-12745;Craig Yedwab;Corporate;United States;Gilbert;Arizona;85234;West;FUR-FU-10004306;621.8;4;0.2;46.6;Anna Andreadi
CA-2017-113215;03/09/2017;08/09/2017;Standard Class;CP-12085;Cathy Prescott;Corporate;United States;Tucson;Arizona;85705;West;FUR-FU-10002937;238.2;3;0.2;89.3;Anna Andreadi
