Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country;City;State;Postal_Code;Region;Product_ID;Sales;Quantity;Discount;Profit;Person
CA-2016-100678;18/04/2016;22/04/2016;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Houston;Texas;77095;Central;OFF-AR-10001868;2.7;2;0.2;1;Kelly Williams
CA-2016-100678;18/04/2016;22/04/2016;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Houston;Texas;77095;Central;FUR-CH-10002602;317.1;3;0.3;-18.1;Kelly Williams
CA-2016-100678;18/04/2016;22/04/2016;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Houston;Texas;77095;Central;OFF-EN-10000056;149.4;3;0.2;50.4;Kelly Williams
CA-2016-100678;18/04/2016;22/04/2016;Standard Class;KM-16720;Kunst Miller;Consumer;United States;Houston;Texas;77095;Central;TEC-AC-10000474;228;3;0.2;28.5;Kelly Williams
CA-2016-100762;24/11/2016;29/11/2016;Standard Class;NG-18355;Nat Gilpin;Corporate;United States;Jackson;Michigan;49201;Central;OFF-AR-10000380;151.9;4;0;45.6;Kelly Williams
CA-2016-100762;24/11/2016;29/11/2016;Standard Class;NG-18355;Nat Gilpin;Corporate;United States;Jackson;Michigan;49201;Central;OFF-LA-10003930;196.6;2;0;96.3;Kelly Williams
CA-2016-100762;24/11/2016;29/11/2016;Standard Class;NG-18355;Nat Gilpin;Corporate;United States;Jackson;Michigan;49201;Central;OFF-PA-10001815;144.1;3;0;69.2;Kelly Williams
CA-2016-100762;24/11/2016;29/11/2016;Standard Class;NG-18355;Nat Gilpin;Corporate;United States;Jackson;Michigan;49201;Central;OFF-PA-10004082;16;2;0;8;Kelly Williams
CA-2016-101147;02/12/2016;04/12/2016;First Class;MC-17575;Matt Collins;Consumer;United States;Chicago;Illinois;60623;Central;OFF-AP-10004249;2.4;1;0.8;-6.3;Kelly Williams
CA-2016-101602;15/12/2016;18/12/2016;First Class;MC-18100;Mick Crebagga;Consumer;United States;El Paso;Texas;79907;Central;TEC-PH-10000169;40.7;3;0.2;-9.2;Kelly Williams
CA-2016-101602;15/12/2016;18/12/2016;First Class;MC-18100;Mick Crebagga;Consumer;United States;El Paso;Texas;79907;Central;FUR-CH-10004675;763.3;5;0.3;-21.8;Kelly Williams
CA-2016-103086;17/10/2016;19/10/2016;Second Class;EB-14170;Evan Bailliet;Consumer;United States;Houston;Texas;77095;Central;FUR-FU-10004586;5.3;2;0.6;-1.6;Kelly Williams
CA-2016-103100;20/12/2016;23/12/2016;First Class;AB-10105;Adrian Barton;Consumer;United States;Indianapolis;Indiana;46203;Central;OFF-LA-10003720;3.7;1;0;1.7;Kelly Williams
CA-2016-103100;20/12/2016;23/12/2016;First Class;AB-10105;Adrian Barton;Consumer;United States;Indianapolis;Indiana;46203;Central;OFF-BI-10004600;1104;3;0;496.8;Kelly Williams
CA-2016-103191;22/09/2016;27/09/2016;Standard Class;VG-21805;Vivek Grady;Corporate;United States;Chicago;Illinois;60653;Central;OFF-ST-10002574;331.5;3;0.2;-82.9;Kelly Williams
CA-2016-103492;10/10/2016;15/10/2016;Standard Class;CM-12715;Craig Molinari;Corporate;United States;Huntsville;Texas;77340;Central;TEC-PH-10001128;720;6;0.2;72;Kelly Williams
CA-2016-103492;10/10/2016;15/10/2016;Standard Class;CM-12715;Craig Molinari;Corporate;United States;Huntsville;Texas;77340;Central;TEC-PH-10004667;755.9;7;0.2;66.1;Kelly Williams
CA-2016-103492;10/10/2016;15/10/2016;Standard Class;CM-12715;Craig Molinari;Corporate;United States;Huntsville;Texas;77340;Central;OFF-BI-10004817;12;5;0.8;-19.2;Kelly Williams
CA-2016-103492;10/10/2016;15/10/2016;Standard Class;CM-12715;Craig Molinari;Corporate;United States;Huntsville;Texas;77340;Central;OFF-BI-10004140;0.9;1;0.8;-1.6;Kelly Williams
CA-2016-103527;09/09/2016;14/09/2016;Second Class;CC-12220;Chris Cortes;Consumer;United States;Chicago;Illinois;60653;Central;OFF-PA-10001622;10.9;3;0.2;3.4;Kelly Williams
CA-2016-103744;23/02/2016;27/02/2016;Standard Class;MG-17875;Michael Grace;Home Office;United States;El Paso;Texas;79907;Central;OFF-LA-10004425;6.9;3;0.2;2.3;Kelly Williams
CA-2016-103744;23/02/2016;27/02/2016;Standard Class;MG-17875;Michael Grace;Home Office;United States;El Paso;Texas;79907;Central;OFF-BI-10000320;4.4;3;0.8;-6.9;Kelly Williams
CA-2016-103800;03/01/2016;07/01/2016;Standard Class;DP-13000;Darren Powers;Consumer;United States;Houston;Texas;77095;Central;OFF-PA-10000174;16.4;2;0.2;5.6;Kelly Williams
CA-2016-103849;11/05/2016;16/05/2016;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Fort Worth;Texas;76106;Central;TEC-AC-10001465;58.1;2;0.2;7.3;Kelly Williams
CA-2016-103849;11/05/2016;16/05/2016;Standard Class;PG-18895;Paul Gonzalez;Consumer;United States;Fort Worth;Texas;76106;Central;TEC-PH-10002597;100.8;1;0.2;6.3;Kelly Williams
